0.00,0.00,0.00,1.65
0.00,75.00,0.00,3.47
0.00,63.00,0.00,5.08
0.00,82.50,0.00,5.92
0.00,51.50,0.00,6.84
0.00,78.00,0.00,7.53
0.00,65.00,0.00,8.34
0.00,72.00,0.00,9.17
0.00,74.50,0.00,9.93
0.00,74.00,0.00,10.59
0.00,67.50,0.00,11.24
0.00,72.50,0.00,12.07
0.00,80.50,0.00,13.03
0.00,63.00,0.00,14.11
0.00,82.50,0.00,15.23
0.00,63.50,0.00,16.03
0.00,78.00,0.00,16.74
0.00,66.50,0.00,17.38
0.00,72.00,0.00,18.14
0.00,63.50,0.00,18.87
0.00,69.00,0.00,19.74
0.00,75.50,0.00,20.56
0.00,65.50,0.00,21.38
0.00,74.00,0.00,22.23
0.00,63.00,0.00,23.13
0.00,76.00,0.00,23.90
0.00,60.00,0.00,24.59
0.00,80.50,0.00,25.30
0.00,59.00,0.00,28.21
0.00,72.50,0.00,30.11
0.00,62.00,0.00,30.92
0.00,73.50,0.00,31.75
0.00,74.00,0.00,32.67
0.00,69.00,0.00,33.45
0.00,78.50,0.00,34.11
0.00,59.50,0.00,34.78
0.00,75.00,0.00,35.43
0.00,61.50,0.00,36.06
0.00,79.50,0.00,36.75
0.00,64.50,0.00,37.57
0.00,76.50,0.00,38.31
0.00,73.00,0.00,39.03
0.00,67.00,0.00,39.70
0.00,66.00,0.00,40.39
0.00,58.00,0.00,41.02
0.00,72.50,0.00,41.65
0.00,68.00,0.00,42.32
0.00,75.00,0.00,42.93
0.00,66.00,0.00,43.63
0.00,74.50,0.00,45.06
0.00,75.50,0.00,46.03
0.00,73.00,0.00,46.95
0.00,68.50,0.00,47.99
0.00,70.50,0.00,49.05
0.00,80.00,0.00,49.85
0.00,69.00,0.00,50.48
0.00,83.50,0.00,51.14
0.00,69.00,0.00,51.84
0.00,84.50,0.00,52.64
0.00,65.50,0.00,53.33
0.00,69.50,0.00,53.92
0.00,65.50,0.00,54.69
0.00,63.50,0.00,55.33
0.00,77.50,0.00,55.98
0.00,57.00,0.00,56.62
0.00,64.50,0.00,57.23
0.00,48.50,0.00,57.87
0.00,66.00,0.00,58.48
0.00,56.00,0.00,59.09
0.00,68.00,0.00,59.74
0.00,64.00,0.00,60.35
0.00,72.00,0.00,61.00
0.00,76.00,0.00,61.60
0.00,57.00,0.00,62.21
0.00,76.00,0.00,62.83
0.00,58.00,0.00,63.41
0.00,63.00,0.00,64.03
0.00,61.50,0.00,64.61
0.00,61.00,0.00,65.20
0.00,57.50,0.00,65.87
0.00,78.00,0.00,66.65
0.00,71.00,0.00,67.42
0.00,54.00,0.00,68.03
0.00,75.50,0.00,68.69
0.00,56.00,0.00,69.28
0.00,71.50,0.00,69.87
0.00,63.50,0.00,70.48
0.00,55.00,0.00,71.05
0.00,66.00,0.00,71.70
0.00,57.86,0.00,72.25
0.00,74.50,0.00,72.90
